FIRMDUM1,FIRMDUM2,FIRMDUM3,FIRMDUM4,FIRMDUM5,FIRMDUM6,FIRMDUM7,InFreqGT1Deg,InCloseGT1Deg,RCP1,RCP2,RCP3,RWD1,RWD2,RWD3,RWD4,KTF1,KTF2,KTF3,KTF4,KTF5,KTF6,TNR,CMPTNR,JOBTNR,SEX,AGE,RCP,RWD,KTF,OutGT1OutExpAvg,Centrality
0,0,0,1,0,0,0,36.1702117919922,100,6,6,6,4,4,5,6,4,6,6,6,6,6,62,32,32,1,31,6,4.75,5.666666666666667,2.510638298,68.0851058959961
0,0,0,1,0,0,0,57.4468078613281,93.6170196533203,7,7,7,2,3,3,3,4,5,6,6,7,7,120,48,48,1,36,7,2.75,5.833333333333333,2.477272727,75.53191375732419
0,0,0,1,0,0,0,38.2978706359863,85.1063842773437,7,7,7,2,2,2,2,2,5,6,6,7,5,48,48,48,1,32,7,2,5.166666666666667,4,61.702127456664996
0,0,0,1,0,0,0,63.8297882080078,100,7,7,7,5,4,4,4,4,5,7,7,7,6,122,25,122,1,36,7,4.25,6,3.765957447,81.9148941040039
0,0,0,1,0,0,0,46.8085098266602,97.8723373413086,7,7,7,1,1,1,1,1,7,7,7,7,7,26,26,26,1,30,7,1,6,5,72.3404235839844
0,0,0,1,0,0,0,48.9361686706543,91.4893646240234,5,5,5,3,3,3,3,2,3,3,3,5,5,61,22,22,1,31,5,3,3.5,3.928571429,70.21276664733884
0,0,0,1,0,0,0,59.5744667053223,95.7446823120117,5,5,5,4,3,3,3,3,4,6,6,6,5,30,52,52,1,33,5,3.25,5,3.75,77.659574508667
0,0,0,1,0,0,0,59.5744667053223,100,7,7,7,4,4,4,4,4,7,7,7,7,7,204,204,204,1,44,7,4,6.5,5,79.78723335266115
0,0,0,1,0,0,0,42.5531921386719,91.4893646240234,5,7,7,6,6,4,4,4,7,7,7,7,7,19,19,2,1,26,6.333333333333333,5,6.5,1.611111111,67.02127838134766
0,0,0,1,0,0,0,51.0638313293457,93.6170196533203,7,7,7,2,2,2,2,5,6,6,6,6,6,108,22,108,1,32,7,2,5.833333333333333,4.058823529,72.34042549133301
0,0,0,1,0,0,0,36.1702117919922,76.5957412719727,6,6,6,4,4,4,4,3,4,4,4,6,6,13,13,1,1,29,6,4,4.5,3.625,56.38297653198245
0,0,0,1,0,0,0,51.0638313293457,95.7446823120117,7,7,6,1,1,1,1,4,5,6,6,7,5,68,48,36,1,35,6.666666666666667,1,5.5,2.127659574,73.40425682067871
0,0,0,1,0,0,0,59.5744667053223,100,7,7,7,3,4,7,7,7,7,7,7,7,7,126,126,126,1,36,7,5.25,7,4.29787234,79.78723335266115
0,0,0,1,0,0,0,31.9148941040039,91.4893646240234,6,7,7,4,4,4,4,5,5,6,6,6,6,43,8,43,1,29,6.666666666666667,4,5.666666666666667,5,61.70212936401364
0,0,0,1,0,0,0,95.7446823120117,100,7,7,7,7,4,4,4,4,7,7,7,7,7,253,217,214,1,45,7,4.75,6.5,4.021276596,97.87234115600586
0,0,0,1,0,0,0,48.9361686706543,93.6170196533203,5,5,5,4,4,4,4,4,5,6,6,6,4,92,32,56,1,37,5,4,5.166666666666667,4,71.2765941619873
0,0,0,1,0,0,0,42.5531921386719,91.4893646240234,7,7,7,3,4,5,4,4,5,7,7,6,6,102,42,42,1,34,7,4,5.833333333333333,1.976744186,67.02127838134766
0,0,0,1,0,0,0,38.2978706359863,91.4893646240234,5,6,5,2,1,2,2,2,1,2,3,4,4,77,77,77,1,32,5.333333333333333,1.75,2.6666666666666665,3.294117647,64.89361763000485
0,0,0,1,0,0,0,53.1914901733398,95.7446823120117,7,7,7,3,2,3,3,2,1,5,4,7,3,32,32,32,1,30,7,2.75,3.6666666666666665,4.363636364,74.46808624267575
0,0,0,1,0,0,0,51.0638313293457,97.8723373413086,5,6,6,2,1,6,1,2,2,2,7,7,2,74,74,50,1,31,5.666666666666667,2.5,3.6666666666666665,3.5,74.46808433532715
0,0,0,1,0,0,0,44.680850982666,89.361701965332,6,6,6,3,4,4,4,4,4,6,6,6,4,37,37,37,1,31,6,3.75,5,2.382978723,67.021276473999
0,0,0,1,0,0,0,38.2978706359863,80.8510665893555,6,6,6,4,3,5,3,2,3,5,5,6,4,61,5,5,1,30,6,3.75,4.166666666666667,4.111111111,59.5744686126709
0,0,0,1,0,0,0,48.9361686706543,93.6170196533203,7,7,7,3,3,3,2,5,3,5,5,6,5,156,156,48,1,40,7,2.75,4.833333333333333,3.787234043,71.2765941619873
0,0,0,1,0,0,0,74.4680862426758,100,7,5,5,2,2,2,1,2,3,5,5,6,4,96,58,37,1,35,5.666666666666667,1.75,4.166666666666667,2.75,87.23404312133789
